date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:01:47	129/129	U--MCZ	200	updated ('OK')	text/plain	date:Mon,%2011%20Jul%202016%2010:01:47%20GMT	http://piyatas.tothong.com/robots.txt		(from )
06:01:48	41470/41470	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2011%20Jul%202016%2010:01:48%20GMT	http://piyatas.tothong.com/	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/index.html	(from )
06:01:49	1460/1460	U-----	200	untouched ('OK')	text/css	date:Tue,%2029%20Jan%202013%2009:06:03%20GMT	http://piyatas.tothong.com/wp-content/themes/More/style.css	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/wp-content/themes/More/style.css	(from http://piyatas.tothong.com/)
06:01:49	554/554	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jan%202013%2009:06:03%20GMT	http://piyatas.tothong.com/wp-content/themes/More/assets/ico/favicon.png	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/wp-content/themes/More/assets/ico/favicon.png	(from http://piyatas.tothong.com/)
06:01:49	61743/61743	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jan%202013%2009:06:03%20GMT	http://piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-114-precomposed.png	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-114-precomposed.png	(from http://piyatas.tothong.com/)
06:01:49	63615/63615	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jan%202013%2009:06:03%20GMT	http://piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-144-precomposed.png	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-144-precomposed.png	(from http://piyatas.tothong.com/)
06:01:49	58530/58530	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jan%202013%2009:06:03%20GMT	http://piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-72-precomposed.png	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-72-precomposed.png	(from http://piyatas.tothong.com/)
06:01:49	10372/10372	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2011%20Jul%202016%2010:01:49%20GMT	http://s0.wp.com/wp-content/js/devicepx-jetpack.js?ver=201628	Y:/Downloads/My%20Web%20Sites/piyatas/s0.wp.com/wp-content/js/devicepx-jetpacka7f8.js	(from http://piyatas.tothong.com/)
06:01:49	58162/58162	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jan%202013%2009:06:03%20GMT	http://piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-57-precomposed.png	Y:/Downloads/My%20Web%20Sites/piyatas/piyatas.tothong.com/wp-content/themes/More/assets/ico/apple-touch-icon-57-precomposed.png	(from http://piyatas.tothong.com/)
06:01:49	3805/3805	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2011%20Jul%202016%2010:01:49%20GMT	http://stats.wp.com/e-201628.js	Y:/Downloads/My%20Web%20Sites/piyatas/stats.wp.com/e-201628.js	(from http://piyatas.tothong.com/)
